	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
5jsos					http://pbs.twimg.com/profile_images/526264087425327105/kTGBQaTQ_normal.jpeg					"5jsos

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			816	2104	51657	2838	0	che servirebbe dire che ci siamo amati?		http://t.co/11Xf3SxbEP	London	7/14/2010 23:36	Open Twitter Page for This Person	https://twitter.com/5jsos	Yes					
scootdown					http://pbs.twimg.com/profile_images/1175600297/TFicons_normal.png					"scootdown

"																			531	1150	5843	91	-25200	"At ?  Founder of: TestFlight, 23Divide, Gigotron, Twiddla, Rootdown"	"Los Angeles, CA"	http://t.co/7okqh7Vcdt	Pacific Time (US & Canada)	39268.27047	Open Twitter Page for This Person	https://twitter.com/scootdown	No					
john					http://pbs.twimg.com/profile_images/518528863576817664/ANhA4I8t_normal.jpeg					"john

"																			24144	325210	2769	1675	-25200	CEO and Co-founder of @Shots. Co-creator of #TheMoneyTeam.	SF / LA / Mars	http://t.co/pSDRTLkPTw	Pacific Time (US & Canada)	39756.33398	Open Twitter Page for This Person	https://twitter.com/john	No					
mrbiebershug					http://pbs.twimg.com/profile_images/526999107966341120/JDlVoGnN_normal.jpeg					"mrbiebershug

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			123	92	376	13	3600	“Ci portiamo dentro chi non siamo riusciti a tenerci accanto.” •abbracciamibieber•			Ljubljana	41801.54995	Open Twitter Page for This Person	https://twitter.com/mrbiebershug	Yes					
shawnelada					http://pbs.twimg.com/profile_images/527169743292481536/Gh7FCBmo_normal.jpeg					"shawnelada

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			973	2275	32841	7098	-10800	"-me joga no Shawn, e Matt com força, Cam disse que não pode? -Jack vc diz..."		http://t.co/bfFGy9TUQ3	Santiago	40014.60072	Open Twitter Page for This Person	https://twitter.com/shawnelada	Yes					
fernandacv123					http://pbs.twimg.com/profile_images/525344500588503040/yhApxabL_normal.jpeg					"fernandacv123

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			994	577	2135	717		Sou fã da covinha mais linda do mundo!				41902.97376	Open Twitter Page for This Person	https://twitter.com/fernandacv123	Yes					
adamovichporn					http://pbs.twimg.com/profile_images/524330786493710338/KANsWhIJ_normal.jpeg					"adamovichporn

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			198	502	14480	840	-7200	41674	Rio de Janeiro	http://t.co/2k6DTVRCRc	Mid-Atlantic	41635.79535	Open Twitter Page for This Person	https://twitter.com/adamovichporn	Yes					
k1drauhl1994					http://pbs.twimg.com/profile_images/523304308083658753/ECKRf967_normal.jpeg					"k1drauhl1994

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			709	1410	35890	2041	-10800	I'll always be there for you @justinbieber	 Brasília - Brasil		Santiago	40771.0427	Open Twitter Page for This Person	https://twitter.com/k1drauhl1994	Yes					
psycheluke					http://pbs.twimg.com/profile_images/525015842530938880/M1YtPF_J_normal.jpeg					"psycheluke

RT @Luke5SOS: slsp ep if you haven't
seen already !:) http://t.co/fQu1Fw3FhK
http://t.co/8qQ8noJpIm"																			5532	7586	30061	15253	-18000	"?? ?*?how did we end up here??,, ?? ?? ?? ?? ?? ?? ?? ?? up my ass.:*?? ?? ?? ?wwa 8/30/14 || got cake tour 9/28/14 ? ?? ?? ?alicia & olivia"	?? 3/5 jano || ?/4 || ?/5+more		Central Time (US & Canada)	41635.13957	Open Twitter Page for This Person	https://twitter.com/psycheluke	Yes					
